"Action","Action"
"Add Tag","Add Tag"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Billing country","Billing country"
"Blank tag","Blank tag"
"Cancel","Cancel"
"Conditions Combination","Conditions Combination"
"Conditions","Conditions"
"Deal Status","Deal Status"
"Default","Default"
"Default order tag","Default order tag"
"Delete","Delete"
"Delete Item","Delete Item"
"Drop tag if rule doesn't match anymore","Drop tag if rule doesn't match anymore"
"Edit","Edit"
"Edit Tag '%s'","Edit Tag '%s'"
"Comment","Comment"
"Fields","Fields"
"General","General"
"Icon","Icon"
"ID","ID"
"If no image specified, default blank tag will be applied","If no image specified, default blank tag will be applied"
"If %s of these order conditions are %s","If %s of these order conditions are %s"
"Item does not exist","Item does not exist"
"Items Total (Invoiced)","Items Total (Invoiced)"
"Items Total","Items Total"
"Item was successfully deleted","Item was successfully deleted"
"Item was successfully saved","Item was successfully saved"
"Manage Tags","Manage Tags"
"Name","Name"
"Payment Method","Payment Method"
"None","None"
"note","note"
"Number of deals in order","Number of deals in order"
"Order Grand Total","Order Grand Total"
"Order Status","Order Status"
"Order Subtotal","Order Subtotal"
"Order Tags","Order Tags"
"Order Tags","Order Tags"
"Please specify correct file name. Use only letters 'A–Z a-z' and numbers '0-9' for  file name","Please specify correct file name. Use only letters 'A–Z a-z' and numbers '0-9' for  file name"
"Rule Information","Rule Information"
"Sales","Sales"
"Save &amp; Close","Save &amp; Close"
"Save Item","Save Item"
"Saving, please wait...","Saving, please wait..."
"Shipping Country","Shipping Country"
"SKU","SKU"
"Sort Order","Sort Order"
"Tag Icon","Tag Icon"
"Tag Information","Tag Information"
"Tags for Order #","Tags for Order #"
"Unable to find item to save","Unable to find item to save"
"Wrong type of file, only %s  types allowed","Wrong type of file, only %s  types allowed"
"Market Segmentation Suite integration","Market Segmentation Suite integration"
"MSS Rule","MSS Rule"
"Add Order Tag","Add Order Tag"
"Remove Order Tag","Remove Order Tag"
"Reset all Order Tags","Reset all Order Tags"